id,a0,a1,a2,a3,a4
uno, 8.07261,86.8775,0.00215317,0,3,1
uno, 8.07261,284.592,0.00181759,0,3,1
uno, 8.07261,161.641,0.0101985,0,3,1
uno, 8.07261,123.449,0.0013446,0,3,1
uno, 8.07261,9.14337,0.00132316,0,3,1
uno, 8.07261,26.0637,0.00125083,0,3,1
uno, 8.07261,276.059,0.00100592,0,3,1
uno, 8.07261,30.9462,0.00155151,0,3,1
uno, 8.07261,151.359,0.0012715,0,3,1
uno, 11.4164,108.672,0.00141625,1,5,1
uno, 11.4164,305.964,0.00172836,1,5,1
uno, 11.4164,207.966,0.00119576,1,5,1
uno, 11.4164,90.2768,0.00591646,1,5,1
uno, 11.4164,62.7702,0.00110578,1,5,1
uno, 11.4164,23.4809,0.00152384,1,5,1
uno, 11.4164,252.893,0.00128004,1,5,1
uno, 11.4164,155.996,0.00119507,1,5,1
uno, 11.4164,89.2677,0.00104968,1,5,1
uno, 11.4164,32.2862,0.00102873,1,5,1
uno, 11.4164,304.164,0.00177212,1,5,1
uno, 11.4164,176.61,0.00117718,1,5,1
uno, 11.4164,288.03,0.00149659,1,5,1
uno, 11.4164,251.274,0.00102627,1,5,1
uno, 11.4164,165.856,0.00133024,1,5,1
uno, 11.4164,71.29,0.00105569,1,5,1
uno, 11.4164,116.785,0.00151308,1,5,1
uno, 11.4164,60.6165,0.00122585,1,5,1
uno, 11.4164,75.99,0.00130608,1,5,1
uno, 11.4164,15.2991,0.00220336,1,5,1
uno, 11.4164,133.933,0.0077988,1,5,1
uno, 11.4164,145.634,0.00141317,1,5,1
uno, 11.4164,294.23,0.00280519,1,5,1
uno, 11.4164,22.3745,0.00146495,1,5,1
uno, 11.4164,201.309,0.00221311,1,5,1
uno, 11.4164,74.3946,0.00597445,1,5,1
uno, 11.4164,197.35,0.00650958,1,5,1
uno, 11.4164,86.8505,0.00103392,1,5,1
uno, 11.4164,70.9065,0.0023666,1,5,1
uno, 11.4164,0.474748,0.00210115,1,5,1
uno, 11.4164,261.206,0.00119908,1,5,1
uno, 11.4164,30.0385,0.00108097,1,5,1
uno, 11.4164,254.28,0.00150494,1,5,1
uno, 11.4164,283.985,0.00106304,1,5,1
uno, 11.4164,179.819,0.00215057,1,5,1
uno, 11.4164,70.9679,0.00134545,1,5,1
uno, 11.4164,202.302,0.00104552,1,5,1
uno, 11.4164,153.796,0.00199416,1,5,1
