id,a0,a1,a2,a3,a4,Column1
cero,14.52,263.166,34.205,0,-1,0
cero,14.1724,226.586,39.9009,0,-1,0
cero,12.6109,291.433,34.1895,0,-1,0
cero,12.3158,259.902,35.0526,0,-1,0
cero,14.5862,262.413,43.694,0,-1,0
cero,13.6667,56.2282,32.0417,0,-1,0
cero,14.4496,56.9674,32.074,0,-1,0
cero,14.5,244.107,32.0833,0,-1,0
cero,12.6226,253.684,38.2854,0,-1,0
cero,12.8182,250.637,46.4091,0,-1,0
cero,13.08,30.4068,30.405,0,-1,0
cero,12.1154,323.96,39.0096,0,-1,0
cero,12.9,239.338,32.225,0,-1,0
cero,14.0323,92.2894,35.7782,0,-1,0
cero,12,264.744,39,0,-1,0
cero,11.0625,99.6643,32.3906,0,-1,0
cero,13.08,63.5659,30.405,0,-1,0
cero,15.3549,68.9712,57.199,0,-1,0
cero,12.375,114.569,30.0625,0,-1,0
cero,14.6364,310.5,32.747,0,-1,0
cero,11.5946,200.675,30.0845,0,-1,0
cero,16.5225,220.377,45.3441,0,-1,0
cero,12.9429,281.014,37.4321,0,-1,0
cero,15.1407,95.3209,41.4804,0,-1,0
cero,14.3115,241.415,33.8857,0,-1,0
cero,13,129.602,32.5417,0,-1,0
cero,15.6316,227.732,34.4803,0,-1,0
cero,15.5303,257.797,40.135,0,-1,0
cero,13.0385,266.214,42.7789,0,-1,0
cero,13.8333,319.144,33.6806,0,-1,0
cero,14.1225,261.847,35.7589,0,-1,0
cero,13.0714,326.41,31.4464,0,-1,0
cero,12.7778,241.494,36.2269,0,-1,0
cero,13.2857,269.506,31.8036,0,-1,0
cero,11.8889,276.269,33.0046,0,-1,0
cero,13.0245,308.185,32.061,0,-1,0
cero,13.8851,141.307,40.6367,0,-1,0
cero,13.7586,324.454,32.2457,0,-1,0
cero,12.7895,312.984,31.3289,0,-1,0
cero,11.8125,230.235,33.0156,0,-1,0
cero,13.5517,254.882,31.9698,0,-1,0
cero,12.12,239.797,30.005,0,-1,0
cero,16.6517,320.337,40.4071,0,-1,0
cero,12.6305,181.658,33.3382,0,-1,0
cero,12.3882,191.848,37.9022,0,-1,0
cero,14.5385,231.27,34.3269,0,-1,0
cero,13.2632,231.638,32.8421,0,-1,0
cero,11.1667,316.46,31.3472,0,-1,0
cero,14.5,290.535,33.0833,0,-1,0
cero,12.48,272.563,42.16,0,-1,0
cero,13,347.677,34.4583,0,-1,0
cero,14.9572,327.064,42.7923,0,-1,0
cero,12.8824,5.57592,41.3676,0,-1,0
cero,12.931,253.986,30.3491,0,-1,0
cero,11,253.395,30.3333,0,-1,0
cero,13,315.317,30.2917,0,-1,0
cero,14.1818,263.389,33.4546,0,-1,0
cero,13.1053,265.845,31.3224,0,-1,0
cero,16.484,289.632,34.9253,0,-1,0
cero,12.6,287.31,41.25,0,-1,0
cero,13.3125,178.577,34.7656,0,-1,0
cero,15.7775,199.919,52.7652,0,-1,0
cero,13.0373,139.51,30.5331,0,-1,0
cero,13.516,100.647,40.1874,0,-1,0
cero,12.9474,117.512,30.4737,0,-1,0
cero,14.3077,94.6497,42.9231,0,-1,0
cero,15.1086,202.41,40.2956,0,-1,0
cero,13.2162,21.9601,32.7601,0,-1,0
cero,13.4516,278.636,35.9073,0,-1,0
cero,12.2308,271.996,34.0288,0,-1,0
cero,11.3684,272.525,31.2105,0,-1,0
cero,11.1724,280.759,34.5108,0,-1,0
cero,12.7059,257.02,31.2353,0,-1,0
cero,11.7143,240.654,38.0476,0,-1,0
cero,13.6452,326.941,35.1653,0,-1,0
cero,14.2727,281.592,34.3674,0,-1,0
cero,12,260.589,34,0,-1,0
cero,12.7143,311.922,34.2976,0,-1,0
