id,a0,a1,a2,a3,a4
0, 13.5653,61.3585,32.3291,0,-1,0
0, 14.6737,129.321,35.9656,0,-1,0
0, 13.4118,319.141,34.9412,0,-1,0
0, 13.8489,55.4469,31.2925,0,-1,0
0, 11.5359,324.155,30.1203,0,-1,0
0, 12.7114,224.678,30.2273,0,-1,0
0, 12.8,61.1844,30.2667,0,-1,0
0, 14.1812,166.223,45.8005,0,-1,0
0, 13.2,105.818,35.8,0,-1,0
0, 14.3684,159.381,35.4803,0,-1,0
0, 12.2998,53.5714,35.58,0,-1,0
0, 13.7914,185.429,33.4158,0,-1,0
0, 15.6268,74.3812,34.4736,0,-1,0
0, 14.0054,303.168,35.6363,0,-1,0
0, 12.7044,84.9626,34.2567,0,-1,0
0, 14.0406,149.365,33.0312,0,-1,0
0, 11.9262,34.6852,30.8195,0,-1,0
0, 13.2577,220.818,34.1956,0,-1,0
0, 13.0909,217.465,41.7273,0,-1,0
0, 13,202.332,38.5417,0,-1,0
0, 14.4545,20.9261,31.8409,0,-1,0
0, 14.8919,223.222,36.0621,0,-1,0
0, 11.8889,290.051,30.0046,0,-1,0
0, 12.907,246.828,41.4913,0,-1,0
0, 13.875,332.828,31.5625,0,-1,0
0, 12.6,207.214,36.225,0,-1,0
0, 13.5542,55.9456,35.9282,0,-1,0
0, 14.0323,357.618,37.7782,0,-1,0
0, 12.2149,92.7757,34.4653,0,-1,0
0, 13.7339,77.238,31.1644,0,-1,0
0, 12,37.6425,32,0,-1,0
0, 12.6667,130.033,30.1111,0,-1,0
0, 13.2353,83.0211,33.7206,0,-1,0
0, 15.7303,227.9,41.0235,0,-1,0
0, 14.8423,199.311,40.2265,0,-1,0
0, 12.9654,180.997,44.5484,0,-1,0
0, 14.52,5.41963,32.205,0,-1,0
0, 12.75,222.19,33.1875,0,-1,0
0, 12.1304,203.567,31.0109,0,-1,0
0, 12.9516,350.169,42.8542,0,-1,0
0, 13.2485,292.616,31.288,0,-1,0
0, 14.4246,37.7129,50.9317,0,-1,0
0, 14.2045,5.60665,44.1687,0,-1,0
0, 12.4737,235.858,32.1184,0,-1,0
0, 12.45,34.0091,32.1125,0,-1,0
0, 13.3448,345.295,32.7285,0,-1,0
0, 14.1074,79.2512,46.2874,0,-1,0
0, 14.0625,61.5939,35.8906,0,-1,0
0, 13.2857,245.462,33.4821,0,-1,0
0, 12.7714,245.912,32.2893,0,-1,0
0, 13.0674,126.368,45.0462,0,-1,0
0, 13.6185,84.4562,32.4014,0,-1,0
0, 14.7535,248.826,32.416,0,-1,0
